CustomerID,Recency,Frequency,Monetary
18102,1,145,608821.65
14646,2,151,528602.52
14156,10,156,313946.37
14911,2,398,295972.63
17450,9,51,246973.09
13694,4,143,196482.81
17511,3,60,175603.55
16446,1,2,168472.50
16684,5,55,147142.77
12415,25,28,144458.37
15061,4,127,137818.52
16029,39,107,122209.14
17949,2,118,118628.08
15311,1,208,116771.16
13089,3,203,116737.86
12931,22,57,92347.34
14298,9,82,91194.49
15769,8,46,88704.32
12346,326,12,77556.46
13798,2,110,75836.87
15838,12,34,74163.00
17841,2,211,70884.07
16754,373,29,67502.47
14096,5,17,65164.79
14088,11,16,64036.80
16422,18,109,63651.47
13081,12,28,59205.15
16013,4,84,57446.44
14680,26,58,57412.77
17389,1,61,57224.68
17850,373,155,56600.08
12748,1,336,56599.39
13777,1,61,56478.42
13093,276,55,54943.65
13408,2,106,51733.46
17404,5,23,47781.12
13881,4,43,45179.10
15749,236,3,44534.30
16705,1,42,43515.05
14031,8,44,40999.17
15039,10,93,40031.43
17381,9,38,40002.37
12471,3,79,39963.79
15098,183,3,39916.50
16210,2,35,38489.51
17675,2,70,38259.60
17677,2,54,36692.91
12921,10,74,35921.04
13767,3,73,35540.53
12678,43,21,34281.18
15856,5,52,34220.34
13902,633,5,34095.26
16779,3,53,33268.24
14258,10,25,32051.34
17428,1,45,31819.76
12709,16,34,31093.34
12681,15,45,30868.28
14606,2,192,30861.06
17940,50,16,30393.19
13078,4,57,29532.45
13098,2,28,28882.44
17857,5,24,28682.24
14527,3,122,27792.30
15513,34,35,27750.55
16333,8,22,26626.80
17865,31,46,26374.39
18251,88,9,26278.86
13802,139,19,26259.11
15498,3,44,26039.58
12731,24,17,25775.71
14062,10,24,25604.20
12744,52,11,25317.06
12939,65,20,25264.80
14895,8,38,25119.54
12621,2,35,24775.81
16525,3,48,24582.64
17920,5,54,24516.46
13001,5,33,24172.10
14607,16,22,24137.63
12682,4,52,24033.91
15640,5,29,23957.58
12482,577,29,23691.40
12409,79,7,23419.29
16133,4,56,22992.26
14063,439,9,22710.20
14051,1,37,22434.00
17340,30,18,22404.82
16839,9,44,22310.49
12540,20,33,22254.49
15159,2,34,22116.73
13340,46,12,22100.56
13319,6,58,22082.50
14667,11,54,21927.14
12753,23,6,21429.39
15615,11,47,21373.97
17243,2,69,20889.86
14866,11,19,20850.22
17706,5,31,20749.98
12433,1,10,20581.26
15251,10,21,20324.54
12477,23,9,20276.37
18008,71,23,19787.13
17139,16,25,19584.46
16843,43,35,19571.43
17581,1,43,18757.75
12557,17,8,18716.14
14194,5,36,18670.59
13113,1,37,18625.73
15808,307,21,18409.93
17377,24,78,18319.41
12357,34,3,18287.66
16746,5,42,18066.40
12647,23,36,17924.35
12472,33,19,17880.59
15078,8,53,17761.88
12901,9,28,17654.54
14952,60,32,17629.35
16652,59,16,17550.39
15189,2,46,17524.38
18172,15,52,17479.84
16019,47,27,17465.85
15523,85,16,17359.99
13027,114,19,17335.20
17416,30,22,17298.45
13564,145,37,17249.55
17735,3,26,17244.93
14277,16,9,17225.81
15358,5,42,17050.41
15125,26,24,17024.87
16656,23,30,16833.17
12454,57,5,16679.78
16553,164,33,16644.01
13199,4,67,16432.89
14961,11,22,16410.15
13225,4,16,16260.07
16180,101,13,16249.87
12980,158,21,16245.78
15044,20,35,16204.33
14733,17,15,16184.97
18092,3,18,16179.44
17107,34,10,16075.42
12971,4,116,15972.79
17716,23,24,15956.97
14769,3,17,15771.88
14849,22,43,15763.45
16191,3,24,15688.02
15768,116,34,15601.09
13488,18,23,15587.88
12949,31,22,15526.70
15601,12,30,14960.12
14543,29,39,14906.77
18087,99,17,14761.52
16126,30,15,14646.80
17133,16,12,14622.33
16873,5,12,14617.39
15482,16,19,14592.56
16713,19,32,14560.69
17448,498,46,14556.97
14299,9,27,14499.49
12583,3,27,14447.44
15093,19,23,14326.11
12476,16,23,14115.41
17017,3,29,14110.61
15005,16,56,14106.20
13090,9,24,14103.09
12714,10,12,14093.71
13178,27,21,14059.19
17589,61,18,14049.87
18223,5,26,14000.85
15502,16,14,13993.47
12435,80,6,13925.93
15760,631,2,13916.34
16558,1,38,13873.51
15291,26,40,13846.56
15032,257,8,13780.65
15382,15,12,13733.55
12567,23,15,13709.86
12989,4,33,13551.75
13468,2,72,13390.51
13097,33,28,13389.22
16923,13,32,13378.36
15738,19,41,13372.97
13629,24,19,13370.86
13969,8,35,13365.87
14049,17,13,13239.03
13316,38,10,13191.57
16549,11,34,13182.19
13668,3,35,13089.94
18225,4,26,13054.26
14110,4,33,12987.95
16161,2,43,12831.80
13952,218,14,12823.52
17858,6,30,12797.65
12683,5,21,12696.78
12437,2,39,12683.40
12451,11,8,12669.88
15465,20,32,12655.65
14040,41,35,12645.57
13013,2,29,12625.77
12536,44,3,12601.83
16814,15,36,12499.71
15194,4,28,12427.69
12474,18,31,12424.45
14936,34,12,12410.81
16000,3,3,12393.70
12481,23,15,12361.39
13050,15,35,12344.53
14739,5,25,12287.50
